clave,nombre,programa_clave,trimestre,tipo,creditos,area_nombre,area_descripcion,url
1400027,FUNDAMENTOS TEÓRICOS DEL DISEÑO I,DCG,1,OBL,,Licenciatura,Licenciatura,
1400028,CULTURA Y DISEÑO I,DCG,1,OBL,,Licenciatura,Licenciatura,
1400034,EXPRESIÓN FORMAL I,DCG,1,OBL,,Licenciatura,Licenciatura,
1400042,RAZONAMIENTO  Y LOGICA SIMBOLICA I,DCG,1,OBL,,Licenciatura,Licenciatura,
1400036,GEOMETRÍA DESCRIPTIVA I,DCG,1,OBL,,Licenciatura,Licenciatura,
1404001,LENGUAJE BÁSICO,DCG,1,OBL,,Licenciatura,Licenciatura,
1400029,FUNDAMENTOS TEÓRICOS DEL DISEÑO II,DCG,2,OBL,,Licenciatura,Licenciatura,
1400030,CULTURA Y DISEÑO II,DCG,2,OBL,,Licenciatura,Licenciatura,
1404002,SISTEMAS DE DISEÑO,DCG,2,OBL,,Licenciatura,Licenciatura,
1400039,EXPRESIÓN FORMAL II,DCG,2,OBL,,Licenciatura,Licenciatura,
1400041,GEOMETRÍA DESCRIPTIVA II,DCG,2,OBL,,Licenciatura,Licenciatura,
1400043,RAZONAMIENTO  Y LOGICA SIMBOLICA II,DCG,2,OBL,,Licenciatura,Licenciatura,
1402005,DISEÑO DE MENSAJES GRÁFICOS I (Signos Icónicos),DCG,3,OBL,,Licenciatura,Licenciatura,
1402027,METODOLOGÍA DEL DISEÑO GRÁFICO I (Pensamiento y Metodos del Diseño),DCG,3,OBL,,Licenciatura,Licenciatura,
1420044,HISTORIA DEL DISEÑO GRÁFICO I (Arte y Diseño Gráfico),DCG,3,OBL,,Licenciatura,Licenciatura,
1420045,DISEÑO Y COMUNICACIÓN I (Estética),DCG,3,OBL,,Licenciatura,Licenciatura,
1420046,EXPRESIÓN DE DISEÑO GRÁFICO I (Principios básicos de la letra),DCG,3,OBL,,Licenciatura,Licenciatura,
1402040,TECNOLOGÍA PARA EL DISEÑO GRÁFICO I (Software Básico para Diseño),DCG,3,OBL,,Licenciatura,Licenciatura,
1402006,DISEÑO DE MENSAJES GRÁFICOS II (Signos Tipográficos),DCG,4,OBL,,Licenciatura,Licenciatura,
1402028,METODOLOGÍA DEL DISEÑO GRÁFICO II (Semiótica y Diseño),DCG,4,OBL,,Licenciatura,Licenciatura,
1420050,HISTORIA DEL DISEÑO GRÁFICO II (Historia del Diseño Gráfico),DCG,4,OBL,,Licenciatura,Licenciatura,
1420051,DISEÑO Y COMUNICACIÓN II (Percepción Visual y Cognición),DCG,4,OBL,,Licenciatura,Licenciatura,
1402058,EXPRESIÓN DE DISEÑO GRÁFICO II (Color para Diseñadores),DCG,4,OBL,,Licenciatura,Licenciatura,
1402041,TECNOLOGÍA PARA EL DISEÑO GRÁFICO II (Introducción a las Artes Gráficas),DCG,4,OBL,,Licenciatura,Licenciatura,
1420054,DISEÑO DE MENSAJES GRÁFICOS III (Sistemas de Signos en Soportes de un Plano),DCG,5,OBL,,Licenciatura,Licenciatura,
1402029,METODOLOGÍA DEL DISEÑO GRÁFICO III (Retórica e Interpretación de la Imagen),DCG,5,OBL,,Licenciatura,Licenciatura,
1420056,HISTORIA DEL DISEÑO GRÁFICO III (Diseño Gráfico en México),DCG,5,OBL,,Licenciatura,Licenciatura,
1420057,DISEÑO Y COMUNICACÍON III (Comunicación y Diseño),DCG,5,OBL,,Licenciatura,Licenciatura,
