clave,nombre,programa_clave,trimestre,tipo,creditos,area_nombre,area_descripcion,url
1407246,PROYECTO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE I,PPCDA,,OBL,,,,
1407247, SEMINARIO DE DISEÑO,PPCDA,,OBL,,,,
1407248,SEMINARIO DE METODOLOGÍA DE LA INVESTIGACIÓN,PPCDA,,OBL,,,,
1407249, TEMAS SELECTOS I,PPCDA,,OBL,,,,
1407250, TEMAS SELECTOS II,PPCDA,,OBL,,,,
1407251,SEMINARIO DE PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE I,PPCDA,,OBL,,,,
1407252,PROYECTO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE II,PPCDA,,OBL,,,,
1407253,TEMAS SELECTOS III,PPCDA,,OBL,,,,
1407254,TEMAS SELECTOS IV,PPCDA,,OBL,,,,
1407255,SEMINARIO DE PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE II,PPCDA,,OBL,,,,
1407256,PROYECTO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE III,PPCDA,,OBL,,,,
1407257,TEMAS SELECTOS V,PPCDA,,OBL,,,,
1407258,TEMAS SELECTOS VI,PPCDA,,OBL,,,,
1407259,SEMINARIO DE PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE III,PPCDA,,OBL,,,,
1407260,PROYECTO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE IV,PPCDA,,OBL,,,,
1407261,SEMINARIO DE DOCENCIA,PPCDA,,OBL,,,,
1407262,PROYECTO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE V,PPCDA,,OBL,,,,
1407263,PROYECTO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y AL ARTE VI,PPCDA,,OBL,,,,
1408126,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE VII,PPCDA,,OBL,,,,
1408127,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE VIII,PPCDA,,OBL,,,,
1408128,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE IX,PPCDA,,OBL,,,,
1408129,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE I,PPCDA,,OBL,,,,
1408130,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE I,PPCDA,,OBL,,,,
1408131,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE II,PPCDA,,OBL,,,,
1408132,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑOS Y EL ARTE II,PPCDA,,OBL,,,,
1408133,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE III,PPCDA,,OBL,,,,
1408134,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE III,PPCDA,,OBL,,,,
1408135,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE IV,PPCDA,,OBL,,,,
1408136,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE IV,PPCDA,,OBL,,,,
1408137,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE V,PPCDA,,OBL,,,,
1408138,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE V,PPCDA,,OBL,,,,
1408139,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE VI,PPCDA,,OBL,,,,
1408140,TALLER COLABORATIVO DE INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE VI,PPCDA,,OBL,,,,
1408141,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE VII,PPCDA,,OBL,,,,
1408142,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE VIII,PPCDA,,OBL,,,,
1408143,SEMINARIO DOCTORAL INVESTIGACIÓN EN PROCESOS CULTURALES PARA EL DISEÑO Y EL ARTE IX,PPCDA,,OBL,,,,
1407100,PROYECTO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO I,PDB,,OBL,,,,
1407101,SEMINARIO DE DISEÑO,PDB,,OBL,,,,
1407102,SEMINARIO DE METODOLOGÍA DE LA INVESTIGACIÓN,PDB,,OBL,,,,
1407103,TEMAS SELECTOS I. VENTILACIÓN NATURAL,PDB,,OBL,,,,
1407104,TEMAS SELECTOS II. MODELOS DE SIMULACIÓN MATEMÁTICA,PDB,,OBL,,,,
1407105,SEMINARIO DE DISEÑO BIOCLIMÁTICO I,PDB,,OBL,,,,
1407106,PROYECTO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO II,PDB,,OBL,,,,
1407107,TEMAS SELECTOS III. NORMATIVIDAD Y REGLAMENTACIÓN PARA LA EDIFICACIÓN SUSTENTABLE,PDB,,OBL,,,,
1407108,TEMAS SELECTOS IV. ECOTECNOLOGÍAS,PDB,,OBL,,,,
1407109,SEMINARIO DE DISEÑO BIOCLIMÁTICO II,PDB,,OBL,,,,
